Key,Index,Status,Title,Daily,Type,Giver,Introduction Dialogue,Resolution Dialogue,Requirements,Objectives,Rewards
MSQ001,1,In Game,Welcome to Kamigotchi World,No,MAIN,MENU,"MENU: “Hi there, Player! Welcome to Kamigotchi World!”
MENU: “You can call me Menu. I’ll be your guide!”
MENU: “I’ll also track your items, quests, and companions while you explore.”
MENU: “You can navigate by clicking on the map to pilot your Operator.”
MENU: “Start by exploring my options and clicking around the screen.”
MENU: “When you’ve seen the basics, we can move on.”","MENU: “See - that wasn’t too tricky, was it?”
MENU: “Good job!”",,,2x Agency Reputation
MSQ002,2,In Game,Beginning Your Journey,No,MAIN,MENU,"MENU: “Feel like you’re getting the hang of my interface?”
MENU: “Great! Now that you’re oriented, you can start exploring your surroundings. You move around by using the Map Menu at the top left of your screen.” 
MENU: “Navigate over to the scrapyard and check it out!”
MENU: “When you check back in with me. I’ll give you a Spell Card.”","MENU: “Here you go!”
MENU: “Spell Cards can have different effects. This one restores your lost Stamina. Make sure to use it before you get too tired to move!”
MENU: “You can also recover Stamina by eating the right foods.”
MENU: “Stamina recovers with time, so even if you’re out of items, you’ll be back on your feet after a little while.”
MENU: “Be careful!”",Complete MSQ001,Move 3 Times,"1x ""Neith’s River of Life"" Spell Card"
MSQ003,3,In Game,Your First Kami,No,MAIN,MENU,"MENU: “Now you’re oriented and on your feet, all you need to do is make friends with a Kami yourself!”
MENU: “Have you seen the Vending Machine out in the junkyard?”
MENU: “Believe it or not, we’ve got it powered on and fully stocked!”
MENU: “Don’t worry about how, just go get yourself a Kami.”","MENU: “Congratulations! You’ve got yourself a Kamigotchi!”
MENU: “Aren’t they just adorable?”
",Complete MSQ002,Own 1 Kamigotchi,6x Agency Reputation
MSQ004,4,In Game,What Kami Do: Harvesting,No,MAIN,MENU,"MENU: “Kamigotchi will rest and stay healthy when being held. Being with an Operator seems to comfort them.”
MENU: “When you set a Kami down, they’ll hang out by the closest spiritual node.”
MENU: “A Kami on a node is considered to be Harvesting, but they’re not working up a sweat. It’s something that happens passively.”
MENU: “When your Kami is out in the world, they draw energy out of the environment and into themselves.”
MENU: “We call this energy $MUSU. I’ll explain more about it later.”
MENU: “You can wander around while your Kami harvest, but don’t forget where you left them! Tired Kami are vulnerable to predators.”","MENU: “Great! As a reward, here’s another Spell Card!”
MENU: “You can use this one to help your Kamigotchi level up.”",Complete MSQ003,Harvest for >5 minutes,1x “Cultivation I” Spell Card
MSQ005,5,In Game,What Kami Do: Scavenging,No,MAIN,MENU,"MENU: “$MUSU isn’t the only thing the Kamigotchi will collect.”
MENU: “Over time, the Harvesting action generates a force that draws objects and items to the Kami.”
MENU: “It’s like a kind of magnetism that only affects certain things.”
MENU: “Which things? It’s not clear. The selection changes based on your Kami’s location. Some are simply fallen sticks and old stones, but other items are more interesting.”
MENU: “We call this action “Scavenging”.”
MENU: “Try it out and see what kind of present the Kami brings you!”","MENU: “Cool find! If you want to know more about an item, just open your inventory and take a closer look.”",Complete MSQ004,Scavenge 1 Item,4x Agency Reputation
MSQ006,6,In Game,What Kami Do: Liquidating,No,MAIN,MENU,"MENU: “If your Kami isn’t enjoying Harvesting, it may not be built for such a relaxed existence.”
MENU: “Kami with a high Violence stat are more content with a life of conflict.”
MENU: “These predatory Kami can use their wild, violent natures to Liquidate other Kami in combat.”
MENU: “Unlike Harvesting, this grants a large bounty of $MUSU at one time.”
MENU: “Give it a shot if you’ve got the Kami for it. I won’t judge!”
","MENU: “Liquidating other Kami may be antisocial, but there’s no real harm done.”
MENU: “Just like a Kami isn’t really hurt when it’s low on Health, a Kami isn’t really dead when it’s Liquidated.”
MENU: “It may be unable to hold its body in shape for a while, but it can always come back!”
MENU: “You can revive fallen Kami with a Spell Card or some special food items.""",Complete MSQ005,Liquidate another Kamigotchi,4x Agency Reputation
MSQ007,7,In Game,Making $MUSU,No,MAIN,MENU,"MENU: “$MUSU is a form of energy that exists everywhere in the universe.”
MENU: “The Kamigotchi World has a particularly high concentration. $MUSU is what keeps everything here tied together like the knots in a big rope net.”
MENU: “Collect a moderate amount of $MUSU, then I’ll explain more.""","MENU: “Alright!”
MENU: “In this world and the places that surround it, $MUSU is also a kind of currency.” 
MENU: “If you need a specific item, someone might sell just what you need, for the right price.”
MENU: “You might even get the itch to start trading goods yourself!”",Complete MSQ004,Collect 500 $MUSU,"4x Agency Reputation,1x “Cultivation I” Spell Card"
MSQ008,8,In Game,Supporting Local Businesses,No,MAIN,MENU,"MENU: “Go spend some $MUSU just to get the hang of it.”
MENU: “If you need directions, there’s a shop through the door a little north of the vending machine.”
MENU: “I’ve heard it trades some interesting things!”
MENU: “When you’re done shopping, I’ll give you something extra.”
","MENU: “She’s ruthless, huh? Maybe you’ll find a friendlier shop later.”
MENU: “And don’t worry, not everyone is trying to rip you off. Here, take this.""",Complete MSQ007,Buy something from any vendor using $MUSU,2x Agency Reputation
MSQ009,9,In Game,Building a Reputation,No,MAIN,MENU,"MENU: “This one is a more personal request.”
MENU: “I want to do some repairs. If you just give me the raw materials, I can fabricate the parts I need.”
MENU: “Please give me some Scrap Metal. I’d really appreciate it!”","MENU: “When you complete a quest, the rewards vary. Sometimes you get items, but you always gain a little character.”
MENU: “Your profile in the Account tab uses a set of meters to track how others see you.”
MENU: “As the Menu, I’m what you use to interface with the Kamigotchi World.”
MENU: “We’re always hanging out, and I’m as friendly as it gets, so raising your Reputation with me is easy.”
MENU: “I’ll always give between 2 to 6 Reputation for completing quests, but sometimes I might think you deserve more.” 
",Complete MSQ008,Give 3 Scrap Metal,"6x Agency Reputation,1x “Paeon’s Field of Flowers” Spell Card"
MSQ010,10,In Game,Kamigotchi World and You: Having a Normal One,No,MAIN,MENU,"MENU: “Every area in the Kamigotchi World has a Type just like your Kami.”
MENU: “The “Normal” type is kind of self-explanatory.”
MENU: “If I had to really break it down…”
MENU: “Something with the Normal Type represents the essence of this realm in its purest form.”
MENU: “To get a better idea of what that means, scavenge three items in rooms with the Normal Type.”
","MENU: “You could also think of the Normal type as “Natural” or “Pure”, but those aren’t really right.”
MENU: “It’s just normal for whatever it is.”
MENU: “When something isn’t influenced by any external factors, that’s normal.”
",Complete MSQ009,Make a Scavenging roll in 3 rooms of the Normal type,"4x Agency Reputation,1x ""Neith’s River of Life"" Spell Card"
