Index,Name,Status,X,Y,Z,Exits,Description
1,Misty Riverside,In Game,3,1,1,20,"The air is quiet and the trees grow thick overhead. In each direction the murky river disappears into mist and darkness."
2,Tunnel of Trees,In Game,3,3,1,13,"A gate marks the boundary between the forest and the plains. The incongruous ""SHOP"" door has a cool glow."
3,Torii Gate,In Game,3,4,1,,"The Torii gate standing here radiates an aura of spiritual significance. Piles of scrap and garbage rise like mountains on the horizon."
4,Vending Machine,In Game,3,6,1,,"A vending machine stands deep in the scrap, well stocked and operating despite the remote location and cut power cord."
5,Restricted Area,In Game,3,9,1,,"A restricted area, but no one is watching. Follow this road lined with cherry trees to reach an office complex."
6,Labs Entrance,In Game,4,10,1,28,"The exterior of this building was designed to resemble a shrine almost as much as an office."
9,Forest: Old Growth,In Game,5,8,1,,"You step into the forest and seem to enter a primordial age. The buzz of giant insects overwhelms your hearing."
10,Forest: Insect Node,In Game,5,5,1,,"The buzzing is loudest here. This mound draws insects of all types toward it. They writhe together in a trance."
11,Temple by the Waterfall,In Game,6,11,1,"24,15","A humble shrine lends this waterfall basin a peaceful aura, but the air has an unpleasant aroma like dirty laundry."
12,Scrap Confluence,In Game,1,6,1,,"A collection of strange and hard to identify objects buried deep in the scrapyard. It could be dangerous to get close."
13,Convenience Store,In Game,4,3,2,2,"The glowing blue door seems to lead to a convenience store. Where is this? That ""Exit"" sign might let you leave."
15,Temple Cave,In Game,5,7,3,11,"A cave behind the waterfall. Friendly statues line a path to the back of the cave, away from ancient-looking temple ruins."
16,Techno Temple,In Game,6,7,3,,"Inside the ruined temple. This place might have been traditional once, but now it sparks and rumbles with technology."
18,Cave Crossroads,In Game,5,6,3,,"Deep in the cave the path branches. The bioluminescent fungi make it nearly as bright as day. You can hear bells in the air."
19,Temple of the Wheel,In Game,2,4,3,59,"Half eroded stone and mossy growth, half gleaming metal and glowing crystal. Whether temple or technology, it unsettles you."
25,Lost Skeleton,In Game,6,9,1,,"A crumbling human skeleton lies prone on the ground. It looks to have been decomposing for decades."
26,Trash-Strewn Graves,In Game,2,8,1,,"Ancient gravestones emerge from the thinning piles of trash at the farthest edge of the scrapyard."
29,Misty Forest Path,In Game,3,2,1,,"Dense mist and canopy blocks the sky. It would be impossible to navigate in this forest of illusion. Just follow the path."
